Document name,Url
1.html,https://habr.com/ru/
2.html,https://habr.com/
3.html,https://qna.habr.com/?utm_source=habr&utm_medium=habr_top_panel
4.html,https://career.habr.com/?utm_source=habr&utm_medium=habr_top_panel
5.html,https://freelance.habr.com/?utm_source=habr&utm_medium=habr_top_panel
6.html,https://habr.com/sandbox/start/
7.html,https://habr.com/ru/company/habr/blog/494082/
8.html,https://u.tmtm.ru/Smart_dev_poll
9.html,https://u.tmtm.ru/startup-ideas
10.html,https://u.tmtm.ru/mmo
11.html,https://habr.com/ru/all/
12.html,https://habr.com/ru/flows/develop/
13.html,https://habr.com/ru/flows/popsci/
14.html,https://habr.com/ru/flows/admin/
15.html,https://habr.com/ru/flows/design/
16.html,https://habr.com/ru/flows/management/
17.html,https://habr.com/ru/flows/marketing/
18.html,https://habr.com/ru/auth/login/
19.html,https://habr.com/ru/auth/register/
20.html,https://habr.com/ru/top/
21.html,https://habr.com/ru/news/
22.html,https://habr.com/ru/hubs/
23.html,https://habr.com/ru/users/
24.html,https://habr.com/ru/companies/
25.html,https://habr.com/ru/top/weekly/
26.html,https://habr.com/ru/top/monthly/
27.html,https://habr.com/ru/top/yearly/
28.html,https://habr.com/ru/users/Laserbuilder/
29.html,https://habr.com/ru/post/494592/
30.html,https://habr.com/ru/hub/physics/
31.html,https://habr.com/ru/hub/DIY/
32.html,https://habr.com/ru/hub/lasers/
33.html,https://habr.com/ru/post/494592/#habracut
34.html,https://habr.com/ru/post/494592/#comments
35.html,https://habr.com/ru/news/t/494626/
36.html,https://habr.com/ru/news/t/494626/#comments
37.html,https://habr.com/ru/news/t/494550/
38.html,https://habr.com/ru/news/t/494550/#comments
39.html,https://habr.com/ru/news/t/494508/
40.html,https://habr.com/ru/news/t/494508/#comments
41.html,https://habr.com/ru/news/t/494522/
42.html,https://habr.com/ru/news/t/494522/#comments
43.html,https://habr.com/ru/news/t/494516/
44.html,https://habr.com/ru/news/t/494516/#comments
45.html,https://habr.com/ru/users/kosmos_sochi/
46.html,https://habr.com/ru/post/494606/
47.html,https://habr.com/ru/hub/astronomy/
48.html,https://habr.com/ru/post/494606/#habracut
49.html,https://habr.com/ru/post/494606/#comments
50.html,https://habr.com/ru/users/akolomatskiy/
51.html,https://habr.com/ru/post/494596/
52.html,https://habr.com/ru/hub/open_source/
53.html,https://habr.com/ru/hub/java/
54.html,https://habr.com/ru/hub/transport/
55.html,https://habr.com/ru/hub/urban/
56.html,https://habr.com/ru/sandbox/
57.html,https://habr.com/ru/post/494596/#habracut
58.html,https://habr.com/ru/post/494596/#comments
59.html,https://habr.com/ru/users/Audioman/
60.html,https://habr.com/ru/company/audiomania/blog/494560/
61.html,https://habr.com/ru/company/audiomania/
62.html,https://habr.com/ru/hub/autogadgets/
63.html,https://habr.com/ru/hub/health/
64.html,https://habr.com/ru/company/audiomania/blog/494560/#habracut
65.html,https://habr.com/ru/company/audiomania/blog/494560/#comments
66.html,https://tmtm.ru/megapost
67.html,https://u.tmtm.ru/free
68.html,https://u.tmtm.ru/startup-barriers
69.html,https://habr.com/ru/users/edo1h/
70.html,https://habr.com/ru/post/494614/
71.html,https://habr.com/ru/hub/dwh/
72.html,https://habr.com/ru/hub/hardware/
73.html,https://habr.com/ru/company/ruvds/blog/493696/#comment_21429898
74.html,https://habr.com/ru/post/494614/#habracut
75.html,https://habr.com/ru/post/494614/#comments
76.html,https://habr.com/ru/users/Ahiin/
77.html,https://habr.com/ru/post/494578/
78.html,https://habr.com/ru/hub/maths/
79.html,https://ahiin.livejournal.com/297169.html
80.html,https://habr.com/ru/post/494578/#habracut
81.html,https://habr.com/ru/post/494578/#comments
82.html,https://habr.com/ru/users/Newskylaw/
83.html,https://habr.com/ru/post/494562/
84.html,https://habr.com/ru/hub/freelance/
85.html,https://habr.com/ru/hub/hr_management/
86.html,https://habr.com/ru/hub/copyright/
87.html,https://habr.com/ru/hub/itcompanies/
88.html,https://rg.ru/2020/03/26/prezident-ukaz206-site-dok.html
89.html,https://habr.com/ru/post/494562/#habracut
90.html,https://habr.com/ru/post/494562/#comments
91.html,https://u.tmtm.ru/tmtalkadblock
92.html,https://tmtm.ru/services/advertising/
93.html,https://habr.com/ru/users/Javian/
94.html,https://habr.com/ru/post/494604/
95.html,https://habr.com/ru/hub/biotech/
96.html,https://habr.com/ru/post/494604/#habracut
97.html,https://habr.com/ru/post/494604/#comments
98.html,https://habr.com/ru/users/cocosization/
99.html,https://habr.com/company/audiomania/
100.html,https://u.tmtm.ru/corpblog
